Animals,MPs,Source,Year,DOI
18,2400420.97448826,Lab,2022,https://doi.org/10.1016/j.ecoenv.2022.114194
18,3705401.21697249,Lab,2022,https://doi.org/10.1016/j.ecoenv.2022.114194
40,1455.13090826876,Lab,2023,https://doi.org/10.1007/s11306-022-01967-8
40,145513.090826876,Lab,2023,https://doi.org/10.1007/s11306-022-01967-8
40,14551309.0826876,Lab,2023,https://doi.org/10.1007/s11306-022-01967-8
10,158553.101942439,Lab,2023,https://doi.org/10.1016/j.ecoenv.2023.114569
36,1455130.90826876,Lab,2023,https://doi.org/10.1016/j.tox.2023.153513
36,14551309.0826876,Lab,2023,https://doi.org/10.1016/j.tox.2023.153513
16,1818913.63533595,Lab,2023,https://doi.org/10.1016/j.chemosphere.2023.137877
40,1093261388.63167,Lab,2023,https://doi.org/10.1016/j.scitotenv.2022.160861
32,909456817667973,Lab,2022,https://doi.org/10.1016/j.ecoenv.2022.113966
30,109326138.863167,Lab,2023,https://doi.org/10.1016/j.envpol.2023.121388
30,43114.9898746298,Lab,2023,https://doi.org/10.1016/j.envpol.2023.121388
24,2273.64204416993,Lab,2022,https://doi.org/10.5620/eaht.2022015
24,11368.2102208497,Lab,2022,https://doi.org/10.5620/eaht.2022015
24,22736.4204416993,Lab,2022,https://doi.org/10.5620/eaht.2022015
32,104533694188211000,Lab,2022,https://doi.org/10.1007/s11356-021-13911-9
32,1045336941882110000,Lab,2022,https://doi.org/10.1007/s11356-021-13911-9
32,10453369418821100000,Lab,2022,https://doi.org/10.1007/s11356-021-13911-9
48,18189136353.3595,Lab,2023,https://doi.org/10.1016/j.biopha.2023.114686
32,3637827270.67189,Lab,2023,https://doi.org/10.3389/fnut.2022.1059660
40,2910261816.53751,Lab,2023,https://doi.org/10.1007/s11356-023-26429-z
24,909456817.667973,Lab,2023,https://doi.org/10.3390/toxics11030225
24,3637827270.67189,Lab,2023,https://doi.org/10.3390/toxics11030225
42,4881387.97650988,Lab,2023,https://doi.org/10.2147/NDT.S396556
42,9762775.95301975,Lab,2023,https://doi.org/10.2147/NDT.S396556
42,19525551.9060395,Lab,2023,https://doi.org/10.2147/NDT.S396556
42,39051103.812079,Lab,2023,https://doi.org/10.2147/NDT.S396556
42,78102207.624158,Lab,2023,https://doi.org/10.2147/NDT.S396556
70,363782727.067189,Lab,2023,https://doi.org/10.1080/15376516.2023.2191270 
70,2910261.81653751,Lab,2023,https://doi.org/10.1080/15376516.2023.2191270 
32,7.27565454134378,Lab,2021,https://doi.org/10.1002/tox.23095
32,72.7565454134378,Lab,2021,https://doi.org/10.1002/tox.23095
32,727.565454134378,Lab,2021,https://doi.org/10.1002/tox.23095
32,7275654541.34378,Lab,2020,https://doi.org/10.1016/j.envpol.2020.115025
32,72756545413.4378,Lab,2020,https://doi.org/10.1016/j.envpol.2020.115025
32,727565454134.378,Lab,2020,https://doi.org/10.1016/j.envpol.2020.115025
60,3637.82727067189,Lab,2021,https://doi.org/10.1177/15593258211019882
60,36378.2727067189,Lab,2021,https://doi.org/10.1177/15593258211019882
60,363782.727067189,Lab,2021,https://doi.org/10.1177/15593258211019882
60,3637827.27067189,Lab,2021,https://doi.org/10.1177/15593258211019882
60,28420525552124.2,Lab,2022,https://doi.org/10.1016/j.chemosphere.2022.136093
24,2273.64204416993,Lab,2022,https://doi.org/10.5620/eaht.2022015
24,11368.2102208497,Lab,2022,https://doi.org/10.5620/eaht.2022015
24,22736.4204416993,Lab,2022,https://doi.org/10.5620/eaht.2022015
32,218269636.240313,Lab,2021,https://doi.org/10.1016/j.ecoenv.2021.112012
32,2182696362.40313,Lab,2021,https://doi.org/10.1016/j.ecoenv.2021.112012
32,21826963624.0313,Lab,2021,https://doi.org/10.1016/j.ecoenv.2021.112012
,2020,Soil,2020,https://doi.org/10.1016/j.envpol.2019.113449
,0.34,Soil,2018,https://doi.org/10.1038/s41598-018-36172-y
,18760,Soil,2018,https://doi.org/10.1016/j.scitotenv.2018.06.004
,10.3,Soil,2019,https://doi.org/10.1016/j.scitotenv.2018.10.321
,282,Soil,2020,https://doi.org/10.1016/j.scitotenv.2020.138334
,151,Soil,2020,https://doi.org/10.1016/j.scitotenv.2020.138334
,930,Soil,2020,https://doi.org/10.1016/j.envpol.2020.114198
,1100,Soil,2020,https://doi.org/10.1016/j.envpol.2020.114198
,2130,Soil,2020,https://doi.org/10.1016/j.envpol.2020.114198
,3060,Soil,2020,https://doi.org/10.1016/j.envpol.2020.114198
,151.5,Soil,2021,https://doi.org/10.1016/j.scitotenv.2021.149326
,180,Soil,2021,https://doi.org/10.1016/j.scitotenv.2021.149326
,9450,Soil,2020,https://doi.org/10.1016/j.wasman.2020.08.048
,700,Soil,2020,https://doi.org/10.1007/s11368-020-02759-0
,1270,Soil,2020,https://doi.org/10.1016/j.envpol.2019.113391
,1075.6,Soil,2020,https://doi.org/10.1016/j.envpol.2020.114096
,80.3,Soil,2020,https://doi.org/10.1016/j.envpol.2020.114096
,308,Soil,2020,https://doi.org/10.1016/j.envpol.2020.114096
,47.9,Soil,2021,https://doi.org/10.1039/d0em00431f
,25.4,Soil,2020,https://doi.org/10.1039/d0em00431f
,13.8507674243531,Soil,2020,https://doi.org/10.1016/j.scitotenv.2020.141420
,73.1342919884585,Soil,2020,https://doi.org/10.1016/j.scitotenv.2020.141420
,270.239316253989,Soil,2020,https://doi.org/10.1016/j.scitotenv.2020.141420
,503.3,Soil,2020,https://doi.org/10.1016/j.jhazmat.2019.121814
,438.15,Soil,2021,https://doi.org/10.1016/j.scitotenv.2021.148959
,540,Soil,2021,https://doi.org/10.1016/j.scitotenv.2020.141917
,420,Soil,2021,https://doi.org/10.1016/j.scitotenv.2020.141917
,200,Soil,2021,https://doi.org/10.1016/j.scitotenv.2020.141917
,0.001615,Soil,2021,https://doi.org/10.25165/j.ijabe.20211402.6165
,0.001724,Soil,2021,https://doi.org/10.25165/j.ijabe.20211402.6165
,0.00007,Soil,2021,https://doi.org/10.25165/j.ijabe.20211402.6165
,0.000112,Soil,2021,https://doi.org/10.25165/j.ijabe.20211402.6165
,0.015,Soil,2021,https://doi.org/10.3389/fenvs.2021.739775
,0.0136,Soil,2021,https://doi.org/10.3389/fenvs.2021.739775
,3910,Soil,2021,https://doi.org/10.1016/j.envpol.2020.116199
,5490,Soil,2021,https://doi.org/10.1016/j.envpol.2020.116199
,5683,Soil,2021,https://doi.org/10.1016/j.envpol.2020.116199
,3386,Soil,2021,https://doi.org/10.1016/j.envpol.2020.116199
,5386,Soil,2021,https://doi.org/10.1016/j.envpol.2020.116199
,5124,Soil,2021,https://doi.org/10.1016/j.envpol.2020.116199
,1444,Soil,2021,https://doi.org/10.1016/j.scitotenv.2020.143860
,0.02391,Soil,2022,https://doi.org/10.1016/j.scitotenv.2021.150611
,0.0066,Soil,2022,https://doi.org/10.1016/j.chemosphere.2022.133645
,78,Soil,2018,https://doi.org/10.1016/j.envpol.2018.07.051
,62.5,Soil,2018,https://doi.org/10.1016/j.envpol.2018.07.051
,95,Soil,2019,https://doi.org/10.1016/j.envpol.2019.113009
,4480,Soil,2020,https://doi.org/10.1007/s10661-020-08641-3
,6250,Soil,2020,https://doi.org/10.1007/s10661-020-08641-3
,4781,Soil,2020,https://doi.org/10.1007/s10661-020-08641-3
,5780,Soil,2020,https://doi.org/10.1007/s10661-020-08641-3
,3770,Soil,2020,https://doi.org/10.1007/s10661-020-08641-3
,3915,Soil,2020,https://doi.org/10.1007/s10661-020-08641-3
,3915,Soil,2020,https://doi.org/10.1007/s10661-020-08641-3
,3712,Soil,2020,https://doi.org/10.1007/s10661-020-08641-3
,160,Soil,2021,https://doi.org/10.1016/j.jhazmat.2020.123997
,81,Soil,2021,https://doi.org/10.1016/j.jhazmat.2020.123997
,1880,Soil,2021,https://doi.org/10.1016/j.jhazmat.2020.123997
,1302,Soil,2021,https://doi.org/10.1016/j.jhazmat.2020.123997
,595,Soil,2022,https://doi.org/10.1016/j.scitotenv.2022.157598
,2696.5,Soil,2022,https://doi.org/10.1016/j.scitotenv.2022.157598
,2522,Soil,2022,https://doi.org/10.1016/j.scitotenv.2021.150620
,53.2,Soil,2021,https://doi.org/10.1016/j.envpol.2021.116939
,43.9,Soil,2021,https://doi.org/10.1016/j.envpol.2021.116939
,752.5,Soil,2023,https://doi.org/10.1016/j.hazadv.2022.100225
,730,Soil,2023,https://doi.org/10.1016/j.still.2023.105738
,509,Soil,2023,https://doi.org/10.1016/j.still.2023.105738
,307,Soil,2023,https://doi.org/10.1016/j.still.2023.105738
,77,Soil,2023,https://doi.org/10.1016/j.still.2023.105738
