DOI,Year Pub,Study,Species,n,Polymer,Density(g/cm^3),Diameter(µm),Radius(µm),[MP] ,Units,[mg/kg],Items/kg_SOIL,Volume,Volume cm3,Density*V,D*V*1000,mg/kg / (D*V*1000) = Items/kg,
https://doi.org/10.1016/j.scitotenv.2022.155198,2022,Lab,Mice,24,Polystyrene (PS),1.064,5,2.5,500,µg/L,0.5,,65.4498469497874,0.0000000000654498469497874,0.0000000000696386371545738,0.0000000696386371545738,7179922.24474715,
https://doi.org/10.1016/j.scitotenv.2018.03.051,2018,Lab,Mice,40,Polystyrene (PS),1.05,0.5,0.25,100,µg/L,0.1,,0.0654498469497874,0.0000000000000654498469497874,0.0000000000000687223392972768,0.0000000000687223392972768,1455130908.26876,
https://doi.org/10.1016/j.scitotenv.2018.03.051,2018,Lab,Mice,40,Polystyrene (PS),1.05,50,25,1000,µg/L,1,,65449.8469497874,0.0000000654498469497874,0.0000000687223392972768,0.0000687223392972768,14551.3090826876,
https://doi.org/10.1016/j.chemosphere.2022.135321,2022,Lab,Mice,42,Polystyrene (PS),0.96,5,2.5,1000,µg/L,1,,65.4498469497874,0.0000000000654498469497874,0.0000000000628318530717959,0.0000000628318530717959,15915494.3091895,
https://doi.org/10.3390/ijms22115845,2021,Lab,Mice,24,Polystyrene (PS),1.05,0.5,0.25,10,µg/L,0.01,,0.0654498469497874,0.0000000000000654498469497874,0.0000000000000687223392972768,0.0000000000687223392972768,145513090.826876,
https://doi.org/10.3390/ijms22115845,2021,Lab,Mice,24,Polystyrene (PS),1.05,0.5,0.25,50,µg/L,0.05,,0.0654498469497874,0.0000000000000654498469497874,0.0000000000000687223392972768,0.0000000000687223392972768,727565454.134378,
https://doi.org/10.3390/ijms22115845,2021,Lab,Mice,24,Polystyrene (PS),1.05,0.5,0.25,100,µg/L,0.1,,0.0654498469497874,0.0000000000000654498469497874,0.0000000000000687223392972768,0.0000000000687223392972768,1455130908.26876,
https://doi.org/10.1016/j.chemosphere.2019.125492,2020,Lab,Mice,80,Polyethylene (PE),0.96,10-150,40,2,µg/g,2,,268082.573106329,0.000000268082573106329,0.000000257359270182076,0.000257359270182076,7771.23745565895,
https://doi.org/10.1016/j.chemosphere.2019.125492,2020,Lab,Mice,80,Polyethylene (PE),0.96,10-150,40,20,µg/g,20,,268082.573106329,0.000000268082573106329,0.000000257359270182076,0.000257359270182076,77712.3745565895,
https://doi.org/10.1016/j.chemosphere.2019.125492,2020,Lab,Mice,80,Polyethylene (PE),0.96,10-150,40,200,µg/g,200,,268082.573106329,0.000000268082573106329,0.000000257359270182076,0.000257359270182076,777123.745565895,
https://doi.org/10.1016/j.scitotenv.2018.08.353,2019,Lab,Mice,24,Polystyrene (PS),1.05,5,2.5,100,µg/L,0.01,,65.4498469497874,0.0000000000654498469497874,0.0000000000687223392972768,0.0000000687223392972768,145513.090826876,
https://doi.org/10.1016/j.scitotenv.2018.08.353,2019,Lab,Mice,24,Polystyrene (PS),1.05,5,2.5,1000,µg/L,1,,65.4498469497874,0.0000000000654498469497874,0.0000000000687223392972768,0.0000000687223392972768,14551309.0826876,
https://doi.org/10.1186/s42826-021-00109-w,2021,Lab,Mice,24,Polystyrene (PS),1.05,0.5,0.25,10,µg/mL,10,,0.0654498469497874,0.0000000000000654498469497874,0.0000000000000687223392972768,0.0000000000687223392972768,145513090826.876,
https://doi.org/10.1186/s42826-021-00109-w,2021,Lab,Mice,24,Polystyrene (PS),1.05,0.5,0.25,50,µg/mL,50,,0.0654498469497874,0.0000000000000654498469497874,0.0000000000000687223392972768,0.0000000000687223392972768,727565454134.378,
https://doi.org/10.1186/s42826-021-00109-w,2021,Lab,Mice,24,Polystyrene (PS),1.05,0.5,0.25,100,µg/mL,100,,0.0654498469497874,0.0000000000000654498469497874,0.0000000000000687223392972768,0.0000000000687223392972768,1455130908268.76,
https://doi.org/10.1016/j.jhazmat.2020.124028,2021,Lab,Mice,40,Polystyrene (PS),1.05,5,2.5,100,ug/L,0.1,,65.4498469497874,0.0000000000654498469497874,0.0000000000687223392972768,0.0000000687223392972768,1455130.90826876,
https://doi.org/10.1016/j.jhazmat.2020.124028,2021,Lab,Mice,40,Polystyrene (PS),1.05,5,2.5,1000,ug/L,1,,65.4498469497874,0.0000000000654498469497874,0.0000000000687223392972768,0.0000000687223392972768,14551309.0826876,
https://doi.org/10.1016/j.jhazmat.2020.124028,2021,Lab,Mice,40,Polystyrene (PS),1.05,5,2.5,10,mg/L,10,,65.4498469497874,0.0000000000654498469497874,0.0000000000687223392972768,0.0000000687223392972768,145513090.826876,
https://doi.org/10.1016/j.envpol.2022.119789,2022,Lab,Mice,21,Polystyrene (PS),1.05,5,2.5,100,µg/L,0.1,,65.4498469497874,0.0000000000654498469497874,0.0000000000687223392972768,0.0000000687223392972768,1455130.90826876,
https://doi.org/10.1016/j.envpol.2022.119789,2022,Lab,Mice,21,Polystyrene (PS),1.05,5,2.5,1000,µg/L,1,,65.4498469497874,0.0000000000654498469497874,0.0000000000687223392972768,0.0000000687223392972768,14551309.0826876,
https://doi.org/10.1016/j.scitotenv.2022.153413,2022,Lab,Mice,30,Polystyrene (PS),1.05,#1-10,2.75,10,mg/L,10,,87.113746290167,0.000000000087113746290167,0.0000000000914694336046754,0.0000000914694336046754,109326138.863167,
https://doi.org/10.1016/j.scitotenv.2022.153413,2022,Lab,Mice,30,Polystyrene (PS),1.05,50-100 ,37.5,10,mg/L,10,,220893.233455532,0.000000220893233455532,0.000000231937895128309,0.000231937895128309,43114.9898746298,
https://doi.org/10.1021/acs.estlett.2c00262,2022,Lab,Mice,60,Polystyrene (PS),1.05,40-100 ,35,50,mg/kg,50,,179594.380030217,0.000000179594380030217,0.000000188574099031728,0.000188574099031728,265147.760253053,
https://doi.org/10.1021/acs.estlett.2c00262,2022,Lab,Mice,60,Polystyrene (PS),1.05,40-100,35,500,mg/kg,500,,179594.380030217,0.000000179594380030217,0.000000188574099031728,0.000188574099031728,2651477.60253053,
https://doi.org/10.1016/j.chemosphere.2022.136591,2022,Lab,Mice,24,Polystyrene (PS),1.05,1,0.5,100,µg/L,0.1,,0.523598775598299,0.000000000000523598775598299,0.000000000000549778714378214,0.000000000549778714378214,181891363.533595,
https://doi.org/10.1016/j.chemosphere.2022.136591,2022,Lab,Mice,24,Polystyrene (PS),1.05,1,0.5,1000,µg/L,1,,0.523598775598299,0.000000000000523598775598299,0.000000000000549778714378214,0.000000000549778714378214,1818913635.33595,
